site_code,treatment_name,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
cbgb.us,P,rmf,0.270987725,0.412875583,0.094028859,0.107281688,0.038387121,0.043797566,6,6
cbgb.us,NP,rmf,0.270987725,0.311115761,0.094028859,0.157003352,0.038387121,0.06409635,6,6
cdcr.us,N,rmf,0.45717774,0.357846838,0.248107461,0.042240324,0.14324491,0.024387463,3,3
cdcr.us,P,rmf,0.45717774,0.672324362,0.248107461,0.173044033,0.14324491,0.099907019,3,3
cdcr.us,NP,rmf,0.45717774,0.787060532,0.248107461,0.060376462,0.14324491,0.034858366,3,3
cdpt.us,N,rmf,0.79189165,0.679433642,0.095602989,0.062948438,0.055196412,0.036343298,3,3
cdpt.us,P,rmf,0.79189165,0.786216654,0.095602989,0.038023973,0.055196412,0.021953151,3,3
cdpt.us,NP,rmf,0.79189165,0.714145224,0.095602989,0.109513512,0.055196412,0.063227655,3,3
cowi.ca,N,rmf,0.68675939,0.522619862,0.015510985,0.079467812,0.008955271,0.045880763,3,3
cowi.ca,P,rmf,0.68675939,0.616494514,0.015510985,0.085523454,0.008955271,0.049376989,3,3
cowi.ca,NP,rmf,0.68675939,0.669111927,0.015510985,0.034256523,0.008955271,0.019778013,3,3
elliot.us,N,rmf,0.306624773,0.303591882,0.188068235,0.237035315,0.108581246,0.136852403,3,3
elliot.us,P,rmf,0.306624773,0.219564955,0.188068235,0.028094086,0.108581246,0.016220128,3,3
elliot.us,NP,rmf,0.306624773,0.137359094,0.188068235,0.027340176,0.108581246,0.015784858,3,3
frue.ch,N,rmf,0.157629687,0.151533581,0.070558185,0.090693069,0.040736787,0.052361668,3,3
frue.ch,P,rmf,0.157629687,0.199518689,0.070558185,0.119193014,0.040736787,0.068816119,3,3
frue.ch,NP,rmf,0.157629687,0.115940525,0.070558185,0.032621633,0.040736787,0.018834108,3,3
gilb.za,N,rmf,0.843926364,0.68707945,0.01029355,0.195169077,0.005942984,0.112680919,3,3
gilb.za,P,rmf,0.843926364,0.725153475,0.01029355,0.075808824,0.005942984,0.043768245,3,3
gilb.za,NP,rmf,0.843926364,0.534983478,0.01029355,0.108491533,0.005942984,0.062637616,3,3
hall.us,N,rmf,0.217932547,0.127581703,0.06595244,0.01739483,0.038077659,0.01004291,3,3
hall.us,P,rmf,0.217932547,0.231939769,0.06595244,0.225490784,0.038077659,0.130187165,3,3
hall.us,NP,rmf,0.217932547,0.167137876,0.06595244,0.1036606,0.038077659,0.059848475,3,3
hart.us,N,rmf,0.734990017,0.527360669,0.045196153,0.123854564,0.026094011,0.071507466,3,3
hart.us,P,rmf,0.734990017,0.737667694,0.045196153,0.076906186,0.026094011,0.044401807,3,3
hart.us,NP,rmf,0.734990017,0.449474406,0.045196153,0.141111937,0.026094011,0.081471015,3,3
konz.us,N,rmf,0.33902091,0.136712614,0.060787171,0.06919366,0.035095489,0.039948978,3,3
konz.us,P,rmf,0.33902091,0.336779625,0.060787171,0.060077002,0.035095489,0.034685473,3,3
konz.us,NP,rmf,0.33902091,0.241551476,0.060787171,0.134575313,0.035095489,0.077697093,3,3
lancaster.uk,N,rmf,0.848422742,0.643449809,0.029378414,0.186772325,0.020773676,0.107833052,2,3
lancaster.uk,P,rmf,0.848422742,0.577628608,0.029378414,0.03734618,0.020773676,0.021561827,2,3
lancaster.uk,NP,rmf,0.848422742,0.665184303,0.029378414,0.081064086,0.020773676,0.046802372,2,3
look.us,N,rmf,0.934660243,0.832436133,0.07581389,0.072179264,0.04377117,0.041672717,3,3
look.us,P,rmf,0.934660243,0.763827936,0.07581389,0.18043844,0.04377117,0.104176182,3,3
look.us,NP,rmf,0.934660243,0.913261789,0.07581389,0.037834362,0.04377117,0.021843679,3,3
mtca.au,N,rmf,0.381173307,0.419685642,0.221398543,0.040508436,0.127824509,0.023387556,3,3
mtca.au,P,rmf,0.381173307,0.485566407,0.221398543,0.147707271,0.127824509,0.085278832,3,3
mtca.au,NP,rmf,0.381173307,0.502804091,0.221398543,0.198762001,0.127824509,0.114755295,3,3
sage.us,N,rmf,0.580067939,0.575733166,0.3527866,0.307430115,0.203681439,0.17749486,3,3
sage.us,P,rmf,0.580067939,0.433516154,0.3527866,0.306817769,0.203681439,0.177141322,3,3
sage.us,NP,rmf,0.580067939,0.46800283,0.3527866,0.214002399,0.203681439,0.123554342,3,3
saline.us,N,rmf,0.506409209,0.424557324,0.058330198,0.051516505,0.033676955,0.029743068,3,3
saline.us,P,rmf,0.506409209,0.331650421,0.058330198,0.151226092,0.033676955,0.087310425,3,3
saline.us,NP,rmf,0.506409209,0.26741799,0.058330198,0.159969521,0.033676955,0.092358446,3,3
sgs.us,N,rmf,0.802239295,0.841136113,0.083756226,0.031124293,0.048356679,0.017969619,3,3
sgs.us,P,rmf,0.802239295,0.876155877,0.083756226,0.018510108,0.048356679,0.010686816,3,3
sgs.us,NP,rmf,0.802239295,0.823964875,0.083756226,0.128700083,0.048356679,0.074305028,3,3
shps.us,N,rmf,0.664740845,0.819868392,0.17890158,0.072447976,0.103288875,0.041827859,3,3
shps.us,P,rmf,0.664740845,0.764782384,0.17890158,0.058212592,0.103288875,0.033609056,3,3
shps.us,NP,rmf,0.664740845,0.596449512,0.17890158,0.218784976,0.103288875,0.126315565,3,3
sier.us,N,rmf,0.146415378,0.185820428,0.03681113,0.045171845,0.021252916,0.026079977,3,3
sier.us,P,rmf,0.146415378,0.110797363,0.03681113,0.066998359,0.021252916,0.038681521,3,3
sier.us,NP,rmf,0.146415378,0.116312642,0.03681113,0.056147613,0.021252916,0.032416839,3,3
smith.us,N,rmf,0.503006828,0.43124347,0.035834835,0.088096924,0.020689252,0.050862783,3,3
smith.us,P,rmf,0.503006828,0.409261491,0.035834835,0.144480564,0.020689252,0.083415893,3,3
smith.us,NP,rmf,0.503006828,0.286673331,0.035834835,0.01130654,0.020689252,0.006527834,3,3
spin.us,N,rmf,0.684387266,0.31305961,0.262016425,0.060347868,0.151275253,0.034841858,3,3
spin.us,P,rmf,0.684387266,0.579456305,0.262016425,0.138253226,0.151275253,0.079820537,3,3
spin.us,NP,rmf,0.684387266,0.533235942,0.262016425,0.088826391,0.151275253,0.051283941,3,3
summ.za,N,rmf,0.789516867,0.748812171,0.089393875,0.048271757,0.051611578,0.027869712,3,3
summ.za,P,rmf,0.789516867,0.714538249,0.089393875,0.199649079,0.051611578,0.115267449,3,3
summ.za,NP,rmf,0.789516867,0.68609838,0.089393875,0.077738513,0.051611578,0.044882352,3,3
trel.us,N,rmf,0.066986441,0.087244145,0.039909647,0.043420446,0.023041845,0.025068806,3,3
trel.us,P,rmf,0.066986441,0.071521949,0.039909647,0.013403813,0.023041845,0.007738695,3,3
trel.us,NP,rmf,0.066986441,0.033733598,0.039909647,0.010305189,0.023041845,0.005949704,3,3
ukul.za,N,rmf,0.227381318,0.216017872,0.119356583,0.125540938,0.048727121,0.072481095,6,3
ukul.za,P,rmf,0.227381318,0.105149834,0.119356583,0.073039388,0.048727121,0.04216931,6,3
ukul.za,NP,rmf,0.227381318,0.089577851,0.119356583,0.048064914,0.048727121,0.027750291,6,3
unc.us,N,rmf,0.481166541,0.248444786,0.101045806,0.028671361,0.058338823,0.016553418,3,3
unc.us,P,rmf,0.481166541,0.135120255,0.101045806,0.093011292,0.058338823,0.053700095,3,3
unc.us,NP,rmf,0.481166541,0.250010913,0.101045806,0.14832914,0.058338823,0.085637869,3,3
valm.ch,N,rmf,0.69031974,0.769651031,0.064245777,0.058160092,0.037092316,0.033578745,3,3
valm.ch,P,rmf,0.69031974,0.815303348,0.064245777,0.045794181,0.037092316,0.026439283,3,3
valm.ch,NP,rmf,0.69031974,0.881970701,0.064245777,0.01776718,0.037092316,0.010257886,3,3
bldr.us,N,rootshoot,1.508838324,1.496645113,1.84027979,1.338057404,1.301274319,0.946149464,2,2
bldr.us,P,rootshoot,1.508838324,2.009256494,1.84027979,1.856019306,1.301274319,1.312403837,2,2
bldr.us,NP,rootshoot,1.508838324,0.371210405,1.84027979,0.048681269,1.301274319,0.034422856,2,2
bnch.us,N,rootshoot,9.076689207,7.93334908,0.952929598,4.549389797,0.55017416,2.626591424,3,3
bnch.us,P,rootshoot,9.076689207,5.31653116,0.952929598,1.29264769,0.55017416,0.746310492,3,3
bnch.us,NP,rootshoot,9.076689207,5.495377637,0.952929598,0.916434391,0.55017416,0.529103642,3,3
