"site","variable","species","trt","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"primary","nucleicP","hancea_hookeriana","n",0.348,0.328,0.049,0.019,0.016,0.006,9,9
"primary","nucleicP","hancea_hookeriana","p",0.348,0.284,0.049,0.012,0.016,0.004,9,9
"primary","nucleicP","hancea_hookeriana","np",0.348,0.286,0.049,0.001,0.016,0,9,9
"primary","nucleicP","gironniera_subaequalis","n",0.328,0.327,0.031,0.033,0.01,0.011,9,9
"primary","nucleicP","gironniera_subaequalis","p",0.328,0.28,0.031,0.031,0.01,0.01,9,9
"primary","nucleicP","gironniera_subaequalis","np",0.328,0.323,0.031,0.026,0.01,0.009,9,9
"primary","nucleicP","calamus_tetradactyloides","n",0.347,0.396,0.008,0.024,0.003,0.008,9,9
"primary","nucleicP","calamus_tetradactyloides","p",0.347,0.293,0.008,0.046,0.003,0.015,9,9
"primary","nucleicP","calamus_tetradactyloides","np",0.347,0.299,0.008,0.044,0.003,0.015,9,9
"primary","nucleicP","cryptocarya_chinensis","n",0.22,0.225,0.01,0.041,0.003,0.014,9,9
"primary","nucleicP","cryptocarya_chinensis","p",0.22,0.188,0.01,0.022,0.003,0.007,9,9
"primary","nucleicP","cryptocarya_chinensis","np",0.22,0.198,0.01,0.017,0.003,0.006,9,9
"primary","nucleicP","psychotria_asiatica","n",0.25,0.281,0.02,0.012,0.007,0.004,9,9
"primary","nucleicP","psychotria_asiatica","p",0.25,0.259,0.02,0.012,0.007,0.004,9,9
"primary","nucleicP","psychotria_asiatica","np",0.25,0.252,0.02,0.016,0.007,0.005,9,9
"primary","nucleicP","nephelium_lappaceum","n",0.27,0.27,0.047,0.025,0.016,0.008,9,9
"primary","nucleicP","nephelium_lappaceum","p",0.27,0.27,0.047,0.068,0.016,0.023,9,9
"primary","nucleicP","nephelium_lappaceum","np",0.27,0.215,0.047,0.008,0.016,0.003,9,9
"primary","nucleicP","ampelocalamus_actinotrichus","n",0.381,0.393,0.063,0.033,0.021,0.011,9,9
"primary","nucleicP","ampelocalamus_actinotrichus","p",0.381,0.334,0.063,0.066,0.021,0.022,9,9
"primary","nucleicP","ampelocalamus_actinotrichus","np",0.381,0.345,0.063,0.066,0.021,0.022,9,9
"primary","nucleicP","rhapis_excelsa","n",0.277,0.309,0.015,0.003,0.005,0.001,9,9
