"exp","Species","Treatm","trait","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"crous2017","panicum_antidotale","LNHP","Narea",0.647582743666667,0.5705143535,0.0622073700069129,0.0867512873323711,0.0253960524595752,0.0354160647489799,6,6
"crous2017","panicum_antidotale","HNHP","Narea",0.647582743666667,0.698652239666667,0.0622073700069129,0.0479051515692692,0.0253960524595752,0.0195571962325664,6,6
"crous2017","pinus_halepensis","HNLP","Narea",1.766197933,3.1555583675,0.22157579198756,0.166884060002909,0.11078789599378,0.1180048505,4,2
"crous2017","pinus_halepensis","LNHP","Narea",1.766197933,1.40774751566667,0.22157579198756,0.265918944523651,0.11078789599378,0.153528374203351,4,3
"crous2017","pinus_halepensis","HNHP","Narea",1.766197933,3.3267074575,0.22157579198756,0.176382290225974,0.11078789599378,0.1247211135,4,2
"crous2017","pinus_radiata","HNLP","Narea",0.891486667833333,1.2864880894,0.380898136284024,0.30550340119845,0.155501012978824,0.136625274487425,6,5
"crous2017","pinus_radiata","LNHP","Narea",0.891486667833333,0.930540672833333,0.380898136284024,0.299034337494922,0.155501012978824,0.122080257072296,6,6
"crous2017","pinus_radiata","HNHP","Narea",0.891486667833333,1.37035746433333,0.380898136284024,0.519421415139365,0.155501012978824,0.299888093853569,6,3
"crous2017","pittosporum_phillyraeoides","HNLP","Narea",1.131395473,2.41976646033333,0.147967118007939,0.970471402985638,0.0661729068600969,0.396193291212953,5,6
"crous2017","pittosporum_phillyraeoides","LNHP","Narea",1.131395473,1.2608502496,0.147967118007939,0.305739186383752,0.0661729068600969,0.136730720827909,5,5
"crous2017","pittosporum_phillyraeoides","HNHP","Narea",1.131395473,2.197940143,0.147967118007939,0.722215146515118,0.0661729068600969,0.322984432397555,5,5
"crous2017","plantago_euryphylla","HNLP","Narea",1.2060066154,1.282835192,0.1798038463135,0.262490945293116,0.0804107245945823,0.131245472646558,5,4
"crous2017","plantago_euryphylla","LNHP","Narea",1.2060066154,1.02124254183333,0.1798038463135,0.192690759776367,0.0804107245945823,0.0786656732668846,5,6
"crous2017","plantago_euryphylla","HNHP","Narea",1.2060066154,1.63449347816667,0.1798038463135,0.480879598037442,0.0804107245945823,0.196318273817735,5,6
"crous2017","plantago_lanceolata","HNLP","Narea",0.750541979333333,1.58466141133333,0.204227755301431,0.579900681993922,0.0833756319670812,0.236743462062847,6,6
"crous2017","plantago_lanceolata","LNHP","Narea",0.750541979333333,0.724104809333333,0.204227755301431,0.212228750451575,0.0833756319670812,0.0866420245591371,6,6
"crous2017","plantago_lanceolata","HNHP","Narea",0.750541979333333,1.340958591,0.204227755301431,0.246176146869962,0.0833756319670812,0.100500991112643,6,6
"crous2017","poa_labillardieri","HNLP","Narea",0.8922017528,1.97809357366667,0.110588723843659,0.39859220905868,0.0494567808118748,0.162724587940421,5,6
"crous2017","poa_labillardieri","LNHP","Narea",0.8922017528,0.861337946833333,0.110588723843659,0.0855828615944725,0.0494567808118748,0.0349390569389488,5,6
"crous2017","poa_labillardieri","HNHP","Narea",0.8922017528,1.9995442204,0.110588723843659,0.292226037991137,0.0494567808118748,0.130687457148724,5,5
"crous2017","poa_sieberiana","HNLP","Narea",0.7258900335,2.224735017,0.138731412261083,0.142429152789157,0.0566368618892245,0.0581464581383898,6,6
"crous2017","poa_sieberiana","LNHP","Narea",0.7258900335,0.976129309166667,0.138731412261083,0.252243123379203,0.0566368618892245,0.102977823900825,6,6
"crous2017","poa_sieberiana","HNHP","Narea",0.7258900335,1.5298802615,0.138731412261083,0.149219291381393,0.0566368618892245,0.0609185206106829,6,6
