site_code,year,exp_duration,trt,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
valm.ch,2011,3,N,nmass,2.918918289,4.309217733,0.936577569,1.02371044,0.204377981,0.234855282,21,19
valm.ch,2011,3,P,nmass,2.918918289,3.184908087,0.936577569,1.235970058,0.204377981,0.269710778,21,21
valm.ch,2011,3,NP,nmass,2.918918289,3.779276854,0.936577569,0.853331977,0.204377981,0.190810831,21,20
bldr.us,2011,3,N,narea,7.742654244,7.290680292,5.539920344,5.274012563,2.769960172,2.358610121,4,5
bldr.us,2011,3,P,narea,7.742654244,8.061425765,5.539920344,4.572892441,2.769960172,1.866875521,4,6
bldr.us,2011,3,NP,narea,7.742654244,6.267390587,5.539920344,2.493840092,2.769960172,1.439819248,4,3
bnch.us,2011,4,N,narea,30.14928968,8.338250699,61.99214991,15.58194176,20.66404997,5.509048342,9,8
bnch.us,2011,4,P,narea,30.14928968,6.451494754,61.99214991,8.371211345,20.66404997,2.959670154,9,8
bnch.us,2011,4,NP,narea,30.14928968,5.695412629,61.99214991,5.657553749,20.66404997,1.88585125,9,9
bogong.au,2011,2,N,narea,3.068357604,4.01505817,1.075991089,3.211576932,0.310611872,0.968326879,12,11
bogong.au,2011,2,P,narea,3.068357604,3.110023019,1.075991089,1.516539738,0.310611872,0.437787313,12,12
bogong.au,2011,2,NP,narea,3.068357604,2.953563348,1.075991089,0.932706134,0.310611872,0.28122148,12,11
burrawan.au,2011,3,N,narea,2.73058042,3.572675833,0.632424704,1.852484288,0.182565287,0.513786699,12,13
burrawan.au,2011,3,P,narea,2.73058042,2.805312633,0.632424704,0.907490174,0.182565287,0.261969848,12,12
burrawan.au,2011,3,NP,narea,2.73058042,3.451191188,0.632424704,1.00239214,0.182565287,0.289365686,12,12
cbgb.us,2012,3,N,narea,1.222963693,1.747261326,0.793788609,1.61380728,0.264596203,0.53793576,9,9
cbgb.us,2012,3,P,narea,1.222963693,2.247632772,0.793788609,2.089436244,0.264596203,0.696478748,9,9
cbgb.us,2012,3,NP,narea,1.222963693,1.783773252,0.793788609,1.529457113,0.264596203,0.509819038,9,9
comp.pt,2014,2,N,narea,0.870411341,1.176920598,0.310043097,0.11870085,0.085990483,0.059350425,13,4
comp.pt,2014,2,P,narea,0.870411341,0.811674188,0.310043097,0.324750998,0.085990483,0.162375499,13,4
comp.pt,2014,2,NP,narea,0.870411341,1.146916358,0.310043097,0.626231042,0.085990483,0.280059036,13,5
cowi.ca,2011,4,N,narea,4.019620095,2.274906307,5.254993835,0.420134737,1.751664612,0.171519288,9,6
