Harvest,Months.in,Pot,Species,Spp,Treatment,Classification,Adult stature, Vcmax.a , Jmax.a, TPU.a, Rlight.a, Vomax25.a, avgTleaf ,Amax.a,Asat.a,  Rdark.a  ,PAR,MinCond, MaxCond , Ci.Ca ,Start,Leaf.thickness,LDMC,LMA,FMA,LeafN,LeafP,N.area,P.area, Vcmax.m, Jmax.m,TPU.m,  Rlight.m ,Amax.m,Asat.m, Rdark.m ,PNUE,PPUE,RatioNP
1,9,Pot 34,Hymenosporum flavum,Hf,Control,Light demanding,Small tree,27.0376412,33.42048141,1.954812399,0.509435014,5.400578232,25.85444444,8.14,6.24,NA,500,0.164,0.217,0.84330098,2071,NA,0.353599751,82.64582955,233.727058,15.03485795,2.7534375,1.242568308,227.5601263,0.327150703,0.404381946,23.65288617,6.164074061,98.49256816,75.50290237,NA,6.550947702,35.77076587,5.46039558
1,9,Pot 35,Syzygium wilsonii,Sw,Minus P,Shade tolerant,Understory shrub,23.04166265,37.29255049,2.925283323,0.995854506,3.987743877,27.50655556,9.63,3.29,NA,500,0.0185,0.0353,0.555257787,3775,NA,0.444847935,89.14493633,200.3941783,7.654717742,2.376774194,0.682379326,211.8773841,0.258474161,0.418336162,32.81491293,11.17118422,108.0263265,36.90619048,NA,14.11238535,45.45081599,3.220633143
1,9,Pot 36,Guioa lasioneura,Gl,Minus P,Shade tolerant,Understory shrub,27.84744401,50.13418828,3.818341705,0.755025189,5.142875379,26.75577778,11,4.13,NA,300,0.0207,0.048,0.538992358,3965,NA,0.433047736,89.66041561,207.045109,11.83354779,1.619117647,1.061000813,145.1707612,0.310587942,0.559156323,42.5867054,8.420942326,122.6851328,46.06269079,NA,10.36756981,75.77283409,7.308639873
1,9,Pot 37,Cryptocarya triplinervis,Ct,Control,Light demanding,Canopy,46.10745747,58.32321893,4.597211232,0.891634149,7.900821812,27.62166667,13,7.9,NA,500,0.0366,0.111,0.610059121,3282,NA,0.317775354,53.52681852,168.4423218,28.99972603,4.133835616,1.552263072,221.2710688,0.861389837,1.089607426,85.88612886,16.65770868,242.8689087,147.5895676,NA,8.374869076,58.75146746,7.015210259
1,9,Pot 38,Syzygium wilsonii,Sw,Control,Shade tolerant,Understory shrub,18.39653671,32.72931325,2.675535001,1.796593502,3.400164358,26.74666667,6.23,1.94,NA,300,0.0086,0.0173,0.557210155,3867,NA,0.265205371,48.97884756,184.6827133,16.31494565,3.536616848,0.799087236,173.2194175,0.375601665,0.668233633,54.62633636,36.68100805,127.1977662,39.60893522,NA,7.796395336,35.96594476,4.613150464
1,9,Pot 39,Neolitsea dealbata,Nd,Minus P,Pioneer,Small tree,20.13559631,32.81792447,2.559068484,0.492191484,3.744978984,26.67444444,7.86,4.34,NA,500,0.104,0.126,0.824854627,3938,NA,0.386301119,77.71628851,201.180594,19.90418552,1.825197964,1.546879424,141.8476115,0.25909107,0.422278587,32.92834145,6.333183083,101.1370995,55.84414906,NA,5.081197588,55.41157806,10.9052201
1,9,Pot 40,Neolitsea dealbata,Nd,Control,Pioneer,Small tree,42.93194081,55.53511562,4.266994326,0.500983136,7.644293502,27.17755556,12.7,7.59,NA,500,0.0818,0.113,0.658639587,3297,NA,0.488440936,99.72657936,204.1732623,12.47269523,1.98302603,1.243859231,197.7604028,0.430496474,0.556873764,42.78693156,5.023566832,127.3481962,76.10809524,NA,10.21015858,64.21912486,6.289728444
1,9,Pot 41,Cryptocarya triplinervis,Ct,Minus P,Light demanding,Canopy,25.0781629,40.73032556,3.305308442,0.62842538,4.579983384,26.88466667,12.4,5.27,NA,500,0.0383,0.147,0.733070681,280,NA,0.313947504,58.62566074,186.7371456,30.30549033,2.666850829,1.776679395,156.3458919,0.42776768,0.69475252,56.37989237,10.71928865,211.5114754,89.89237705,NA,6.979312101,79.31132598,11.36377408
1,9,Pot 42,Flindersia bourjotiana,Fb,Control,Light demanding,Canopy,40.96719488,55.20836721,4.28717342,0.911520558,7.239796729,27.26455556,13,7.56,NA,500,0.0643,0.119,0.668555084,3162,NA,0.342565005,93.85899814,273.9888683,14.60206673,1.870891434,1.370535354,175.5999957,0.436475945,0.588205375,45.67674389,9.711594799,138.5056335,80.54635303,NA,9.48534451,74.03189249,7.804871232
1,9,Pot 43,Flindersia bourjotiana,Fb,Minus P,Light demanding,Canopy,47.42530541,60.24270663,3.324272522,1.912815834,8.072415471,27.69933333,15.1,7.3,NA,500,0.00859,0.0924,0.574438519,4098,NA,0.326397713,102.6729953,314.5640769,22.57304772,1.636171367,2.317642422,167.990615,0.46190632,0.586743442,32.37728201,18.63017466,147.0688564,71.09951338,NA,6.515241462,89.88597371,13.79626131
