Site_name,numex_block,PlotID,PlotTreat,plant_id,Tree_species,LeaveNo,seedling_height,seedling_length,seedling_diameter,hole_area,leaf_area,specific_leaf_area,biomass_root,biomass_shoot,biomass_leaf,leaf_N,leaf_P
Cajanuma,1,4,NP,HP-np-05,Hedyosmum purpuracens,6,11.5,13,1.63,0.221,28.9461,130.57,0.15,0.14,0.22,23.79007,1.948728701
Cajanuma,2,5,con,GH-con-06,Graffenrieda harlingii,5,25,26,3.41,1.7141,51.6139,172.07,2.08,0.55,0.29,10.61076,0.504299617
Cajanuma,2,5,con,GH-con-07,Graffenrieda harlingii,11,17.5,17.5,4.56,2.1302,179.3612,129.37,NULL,0.91,1.37,10.52581,0.455019804
Cajanuma,2,5,con,GH-con-08,Graffenrieda harlingii,10,17,17,2.59,1.0366,145.63,200.82,0.42,0.27,0.72,11.47208,0.519222373
Cajanuma,2,5,con,GH-con-09,Graffenrieda harlingii,3,22,22,3.35,1.3188,62.6655,278.85,1.15,0.39,0.22,14.74884,0.561579017
Cajanuma,2,5,con,GH-con-10,Graffenrieda harlingii,7,22,26,3.33,6.2471,37.2469,258.33,0.74,0.36,0.12,14.23343,0.66467966
Cajanuma,2,5,con,HP-con-06,Hedyosmum purpuracens,9,14,14,3.31,4.4628,90.9904,163.26,NULL,0.2,0.53,14.09824,0.763087244
Cajanuma,2,5,con,HP-con-07,Hedyosmum purpuracens,7,13,13,4.22,0.7875,73.601,134.84,0.24,0.27,0.54,11.59911,0.456566184
Cajanuma,2,5,con,HP-con-08,Hedyosmum purpuracens,10,10,11,3.71,0.5451,60.0094,191.82,NULL,0.12,0.31,11.13722,0.533232493
Cajanuma,2,5,con,HP-con-09,Hedyosmum purpuracens,20,14.5,14.5,4.63,0.95,169.82,118.09,0.4,0.37,1.43,11.38342,0.520918223
Cajanuma,2,5,con,HP-con-10,Hedyosmum purpuracens,12,11,11,5.7,1.2966,127.0598,125.76,NULL,0.34,1,10.74766,0.530846916
Cajanuma,2,6,P,GH-p-06,Graffenrieda harlingii,7,11.5,11.5,2.68,0.0037,41.3683,188.02,0.32,0.14,0.22,11.48188,0.537046536
Cajanuma,2,6,P,GH-p-07,Graffenrieda harlingii,3,12,15.5,3.95,0.915,47.632,133.48,0.42,0.4,0.35,10.26075,6.500426927
Cajanuma,2,6,P,GH-p-08,Graffenrieda harlingii,5,14.5,14.5,3.72,9.112,125.6546,114.26,0.66,0.48,1.02,9.214,2.254859009
Cajanuma,2,6,P,GH-p-09,Graffenrieda harlingii,7,19.5,19.5,2.65,1.4969,56.8235,134.94,0.59,0.29,0.41,9.12593,1.445016611
Cajanuma,2,6,P,GH-p-10,Graffenrieda harlingii,9,11.5,11.5,2.09,0.2064,41.5712,275.77,0.11,0.12,0.15,12.88544,2.733722477
Cajanuma,2,6,P,HP-p-06,Hedyosmum purpuracens,10,15.5,15.5,2.37,0.4477,47.7142,196.94,0.26,0.14,0.24,15.11242,0.995287847
Cajanuma,2,6,P,HP-p-07,Hedyosmum purpuracens,15,16,17,3.52,0.5616,101.8197,140.64,0.52,0.34,0.72,10.13072,0.956903271
Cajanuma,2,6,P,HP-p-08,Hedyosmum purpuracens,10,9,9,2,0.007,47.5213,250.08,NULL,0.04,0.19,14.14919,1.141680599
Cajanuma,2,6,P,HP-p-09,Hedyosmum purpuracens,14,15.5,15.5,2.91,0.6254,62.0465,198.13,0.09,0.12,0.31,13.62377,1.314034197
Cajanuma,2,6,P,HP-p-10,Hedyosmum purpuracens,12,15,33,3.32,5.2974,90.1755,157.18,0.41,0.69,0.54,13.10004,0.639133076
Cajanuma,2,7,N,GH-n-06,Graffenrieda harlingii,5,14,17.5,3.95,1.5002,61.654,546.85,0.06,0.1,0.11,14.93793,0.633324401
Cajanuma,2,7,N,GH-n-07,Graffenrieda harlingii,8,13,14,2.36,5.1442,61.0778,164.51,0.17,0.13,0.34,10.53798,0.415268263
Cajanuma,2,7,N,GH-n-08,Graffenrieda harlingii,6,13,13,2.4,2.4025,37.6667,220.4,0.11,0.13,0.16,13.24934,0.533469161
Cajanuma,2,7,N,GH-n-09,Graffenrieda harlingii,3,23,23,3.76,0.4724,32.6308,119.11,0.58,0.43,0.27,14.7222,0.426518495
Cajanuma,2,7,N,GH-n-10,Graffenrieda harlingii,8,21,24.5,3.26,4.1777,107.972,259.49,0.21,0.38,0.4,15.048,0.57163357
Cajanuma,2,7,N,HP-n-06,Hedyosmum purpuracens,11,15,15,3.47,0.9,72.4627,162.64,0.45,0.2,0.44,13.47838,0.658967695
Cajanuma,2,7,N,HP-n-07,Hedyosmum purpuracens,15,10,10,2.22,0.025,62.9303,179.73,NULL,0.41,0.35,12.77269,0.519266644
Cajanuma,2,7,N,HP-n-08,Hedyosmum purpuracens,7,20,25,3.4,0.206,63.4361,218.03,0.38,0.34,0.29,13.2316,0.666397206
Cajanuma,2,7,N,HP-n-09,Hedyosmum purpuracens,8,22,26,2.75,8.0617,62.8806,176.84,0.39,0.18,0.31,11.11352,0.501590437
Cajanuma,2,7,N,HP-n-10,Hedyosmum purpuracens,8,11,11,3.37,0.0069,50.3315,264.87,0.45,0.24,0.19,15.06112,0.844018536
Cajanuma,2,8,NP,GH-np-06,Graffenrieda harlingii,13,15,15,2.88,2.2784,63.2308,217.69,0.3,0.23,0.28,15.48548,0.648204844
Cajanuma,2,8,NP,GH-np-07,Graffenrieda harlingii,7,11,11,2.91,3.0893,69.5747,221.62,0.32,0.31,0.3,14.10724,0.658204904
Cajanuma,2,8,NP,GH-np-08,Graffenrieda harlingii,11,21.5,21.5,2.88,0.4939,119.3659,289.93,0.33,0.25,0.41,15.56292,0.480660779
Cajanuma,2,8,NP,GH-np-09,Graffenrieda harlingii,6,11,11,1.94,0.0197,37.0385,284.76,0.1,0.07,0.13,13.99688,0.421571213
Cajanuma,2,8,NP,GH-np-10,Graffenrieda harlingii,8,11,11,1.81,0.0593,54.4314,247.15,0.13,0.07,0.22,12.57982,0.782795415
Cajanuma,2,8,NP,HP-np-06,Hedyosmum purpuracens,6,11,11,2.5,0.7471,46.3344,198.21,NULL,0.15,0.23,18.18535,1.101183048
Cajanuma,2,8,NP,HP-np-07,Hedyosmum purpuracens,10,12.8,12.8,2.64,4.0232,80.8481,232.8,0.11,0.12,0.33,16.22648,0.976192128
Cajanuma,2,8,NP,HP-np-08,Hedyosmum purpuracens,13,22.5,22.5,3.81,2.45,171.98,204.25,0.38,0.61,0.83,18.86787,0.931624753
Cajanuma,2,8,NP,HP-np-09,Hedyosmum purpuracens,14,22,22,3.21,2.1853,84.8095,243.01,0.59,0.23,0.34,15.74057,0.769138703
Cajanuma,2,8,NP,HP-np-10,Hedyosmum purpuracens,7,22.5,22.5,3.71,7.9863,90.2602,195.89,0.53,0.19,0.42,13.83093,0.750622435
Cajanuma,3,9,N,GH-n-11,Graffenrieda harlingii,7,26,26,3.71,6.6464,119.329,131.03,1.03,0.7,0.86,9.16085,0.408613532
Cajanuma,3,9,N,GH-n-12,Graffenrieda harlingii,3,22,26.5,2.57,0.068,14.9966,248.81,0.11,0.37,0.06,14.10254,0.63521908
Cajanuma,3,9,N,GH-n-13,Graffenrieda harlingii,7,13,13,1.8,1.2659,34.8836,280.15,0.09,0.09,0.12,10.23173,0.516365885
Cajanuma,3,9,N,GH-n-14,Graffenrieda harlingii,7,12.5,12.5,2.17,0.0962,57.2274,228.52,0.1,0.09,0.25,10.76891,0.54124436
Cajanuma,3,9,N,GH-n-15,Graffenrieda harlingii,8,23.5,23.5,2.92,5.0037,62.8084,125.66,0.26,0.55,0.46,9.65048,0.452934099
Cajanuma,3,9,N,HP-n-11,Hedyosmum purpuracens,8,24,24,4.15,0.6278,65.352,202.26,0.2,0.41,0.32,16.44444,0.906564878
Cajanuma,3,9,N,HP-n-12,Hedyosmum purpuracens,12,20,29.5,3.74,2.2027,153.198,145.19,1.05,0.66,1.04,13.47248,0.743796279
Cajanuma,3,9,N,HP-n-13,Hedyosmum purpuracens,11,12,13,2.32,1.6213,59.4556,186.56,0.14,0.11,0.31,11.15611,0.60248644
Cajanuma,3,9,N,HP-n-14,Hedyosmum purpuracens,8,17,19.5,2.26,0.2208,37.562,196.53,0.31,0.2,0.19,16.54324,0.949157979
Cajanuma,3,9,N,HP-n-15,Hedyosmum purpuracens,11,16,16,3.1,0.9797,73.8501,NULL,NULL,NULL,NULL,14.3439,0.679600854
Cajanuma,3,10,con,GH-con-11,Graffenrieda harlingii,5,17.5,17.5,2.51,0.3482,40.4826,200.67,0.31,0.13,0.2,12.22862,0.541505359
Cajanuma,3,10,con,GH-con-13,Graffenrieda harlingii,12,13,13,2.44,0.9076,75.0643,157.78,0.2,0.42,0.47,9.91302,0.391403728
Cajanuma,3,10,con,GH-con-14,Graffenrieda harlingii,6,13,13,2.3,0.6381,33.4238,204.91,1.22,0.07,0.16,12.51743,0.577237015
Cajanuma,3,10,con,GH-con-15,Graffenrieda harlingii,7,11,11.5,1,0.2358,28.2975,255.11,NULL,0.06,0.11,12.42802,0.57820925
Cajanuma,3,10,con,HP-con-11,Hedyosmum purpuracens,15,15,15,2.87,3.6978,109.328,157.66,0.24,0.27,0.67,13.64992,0.714983883
Cajanuma,3,10,con,HP-con-12,Hedyosmum purpuracens,8,15,15,2.35,0.0215,44.1845,200.74,0.14,0.11,0.22,12.50406,0.571837696
Cajanuma,3,10,con,HP-con-13,Hedyosmum purpuracens,15,27,27,4.22,2.44,209.79,136.41,0.48,0.68,1.52,12.09188,0.534043435
Cajanuma,3,10,con,HP-con-14,Hedyosmum purpuracens,13,30,30,4.92,8.87,230.7,131.26,1.02,1.53,1.69,12.59718,0.585307575
Cajanuma,3,10,con,HP-con-15,Hedyosmum purpuracens,13,11,11,2.99,0.122,39.176,156.22,NULL,0.1,0.25,9.81454,0.510489983
Cajanuma,3,11,NP,GH-np-11,Graffenrieda harlingii,8,13.5,15,1.56,0.0613,30.2941,302.33,0.06,0.11,0.1,17.26676,1.049253124
Cajanuma,3,11,NP,GH-np-12,Graffenrieda harlingii,7,10,19,2.92,0.2784,53.949,198.78,0.59,0.1,0.27,13.8137,0.612930884
Cajanuma,3,11,NP,GH-np-13,Graffenrieda harlingii,5,11.5,11.5,1.93,0.0064,29.7787,330.8,0.03,0.06,0.09,16.96638,1.064459101
Cajanuma,3,11,NP,GH-np-14,Graffenrieda harlingii,6,11,11,1.65,0.4285,33.0855,326.57,0.04,0.07,0.1,14.92642,0.782921965
Cajanuma,3,11,NP,GH-np-15,Graffenrieda harlingii,12,17,17,2.78,0.724,87.0333,101.54,NULL,0.59,0.85,8.39199,0.359069995
Cajanuma,3,11,NP,HP-np-11,Hedyosmum purpuracens,9,26.5,26.5,2.39,0.7885,36.4222,274.11,0.36,0.17,0.13,17.89132,1.062482351
Cajanuma,3,11,NP,HP-np-12,Hedyosmum purpuracens,6,12.5,21.5,2.32,0.3665,49.7683,260.01,0.16,0.26,0.19,15.99605,0.891528058
Cajanuma,3,11,NP,HP-np-14,Hedyosmum purpuracens,10,12,12,3.17,0.0605,53.8079,223.95,0.09,0.15,0.24,13.03233,0.740842785
Cajanuma,3,11,NP,HP-np-15,Hedyosmum purpuracens,5,24,24,2.87,0.0728,38.7289,175.71,0.21,0.28,0.22,13.8455,0.688146091
Cajanuma,3,12,P,GH-p-11,Graffenrieda harlingii,8,22,22,2.08,2.1688,80.0966,299.72,0.14,0.17,0.26,13.16569,0.679473148
Cajanuma,3,12,P,GH-p-12,Graffenrieda harlingii,18,21.5,29,4.05,3.5728,112.3969,231.54,0.91,0.73,0.47,12.029,1.214167965
Cajanuma,3,12,P,GH-p-13,Graffenrieda harlingii,5,7.5,7.5,3.23,2.5692,76.5995,224.33,0.39,0.21,0.33,13.1993,2.215220001
Cajanuma,3,12,P,GH-p-14,Graffenrieda harlingii,9,21,26,3.17,0.8033,43.803,226.31,0.46,0.37,0.19,12.94075,1.122198665
Cajanuma,3,12,P,GH-p-15,Graffenrieda harlingii,8,11,13,2.04,0.3494,42.4836,280.89,NULL,0.15,0.15,15.15726,0.702095773
Cajanuma,3,12,P,HP-p-11,Hedyosmum purpuracens,8,10,12.5,2.13,1.0905,42.2096,241.88,0.05,0.13,0.17,12.36891,1.832739197
Cajanuma,3,12,P,HP-p-12,Hedyosmum purpuracens,7,18,18,3.11,0.371,65.5882,210.38,0.13,0.29,0.31,12.799,1.189595677
Cajanuma,3,12,P,HP-p-13,Hedyosmum purpuracens,6,12,13.5,3.07,1.0225,23.36,203.07,0.12,0.07,0.11,16.08854,1.952650137
Cajanuma,3,12,P,HP-p-14,Hedyosmum purpuracens,7,14,14,1.94,0.2341,36.3288,212.32,0.11,0.07,0.17,14.17682,0.923463017
Cajanuma,3,12,P,HP-p-15,Hedyosmum purpuracens,10,17.5,17.5,4.37,9.415,163.4705,179.13,0.21,0.35,0.86,15.51983,0.785222345
Cajanuma,4,13,P,GH-p-16,Graffenrieda harlingii,4,13,13,1,0.1112,22.1854,275.93,0.11,0.07,0.08,14.69515,0.964101401
Cajanuma,4,13,P,GH-p-17,Graffenrieda harlingii,11,17,2.5,3,1.3258,67.7067,214.13,0.19,0.34,0.31,10.66663,2.317045543
Cajanuma,4,13,P,GH-p-18,Graffenrieda harlingii,4,21,21,3,0.0028,18.6622,310.99,0.19,0.23,0.06,14.13928,1.979105451
Cajanuma,4,13,P,GH-p-19,Graffenrieda harlingii,8,23,23,3,0.4943,58.7352,215.71,0.25,0.31,0.27,12.5015,0.531569122
Cajanuma,4,13,P,GH-p-20,Graffenrieda harlingii,10,23.5,23.5,4,4.3969,130.4219,188.1,0.6,0.59,0.67,11.46589,0.607182371
Cajanuma,4,13,P,HP-p-16,Hedyosmum purpuracens,20,13,17,3,3.3178,125.4274,230.4,0.17,0.28,0.53,14.75855,0.799326618
Cajanuma,4,13,P,HP-p-17,Hedyosmum purpuracens,12,11,11,2,0.1696,65.6542,163.71,NULL,0.1,0.4,12.01433,0.54832855
Cajanuma,4,13,P,HP-p-18,Hedyosmum purpuracens,13,11.5,12.5,3,9.4213,81.0737,166.63,0.11,0.14,0.43,12.52524,0.521149312
Cajanuma,4,13,P,HP-p-19,Hedyosmum purpuracens,8,9,11,2,0.0551,17.8852,222.88,0.07,0.03,0.08,11.19749,0.863395581
Cajanuma,4,13,P,HP-p-20,Hedyosmum purpuracens,12,9,10,1,0.0925,20.3334,184.01,NULL,0.04,0.11,10.77505,0.929187477
Cajanuma,4,14,con,GH-con-16,Graffenrieda harlingii,6,10,10,1,0.2219,30.9557,341.49,0.24,0.04,0.09,12.90792,0.518227637
Cajanuma,4,14,con,GH-con-17,Graffenrieda harlingii,7,12,25,3,3.5017,100.7441,143,0.88,0.38,0.68,12.33241,0.576787677
Cajanuma,4,14,con,GH-con-18,Graffenrieda harlingii,7,12,12,2,0.5626,28.6373,280.75,0.1,0.06,0.1,13.18994,0.830354797
Cajanuma,4,14,con,GH-con-19,Graffenrieda harlingii,10,11,11,2,0.2622,38.9299,175.76,0.23,0.12,0.22,14.09719,0.693118683
Cajanuma,4,14,con,GH-con-20,Graffenrieda harlingii,13,9,12,2,0.4426,33.2383,182.2,0.37,0.12,0.18,10.98211,0.470478328
Cajanuma,4,14,con,HP-con-16,Hedyosmum purpuracens,11,26,26,5,7.0268,202.2997,147.93,0.72,0.69,1.32,14.82905,0.571438094
Cajanuma,4,14,con,HP-con-17,Hedyosmum purpuracens,8,10,11,2,0.7553,33.009,201.59,0.13,0.06,0.16,13.5781,0.608534669
Cajanuma,4,14,con,HP-con-18,Hedyosmum purpuracens,7,17,23,3,0.3145,46.0204,152.35,1.26,0.38,0.3,14.16666,0.586004938
Cajanuma,4,14,con,HP-con-19,Hedyosmum purpuracens,10,20,23,3,1.3903,62.1247,189.8,0.33,0.24,0.32,12.37578,0.506226753
Cajanuma,4,14,con,HP-con-20,Hedyosmum purpuracens,8,14,14,4,0.0051,42.6552,185.44,NULL,0.17,0.23,13.11705,0.588897332
Cajanuma,4,16,NP,GH-np-16,Graffenrieda harlingii,4,15.5,15.5,2,0.5858,23.0385,249.47,0.53,0.08,0.09,16.82564,0.701799064
Cajanuma,4,16,NP,GH-np-17,Graffenrieda harlingii,10,26,49,3,0.4913,50.6039,294.78,0.56,0.17,0.17,18.93463,0.880647554
Cajanuma,4,16,NP,GH-np-18,Graffenrieda harlingii,5,13,20,3,6.1389,74.282,272.57,0.34,0.26,0.25,19.13739,1.483301068
San Francisco,1,1,con,GE-con-01,Graffenrieda emarginata,5,13.1,13.1,2.31,0.11,61.95,268.87,0.16,0.12,0.23,10.67986,0.509034938
San Francisco,1,1,con,GE-con-02,Graffenrieda emarginata,5,12,12,1.62,1.13,76.02,234.03,0.11,0.13,0.32,11.29887,0.488277303
San Francisco,1,1,con,GE-con-03,Graffenrieda emarginata,5,11,11.5,1.81,2.67,84.37,226.94,0.18,0.18,0.36,13.5923,0.636082043
San Francisco,1,1,con,GE-con-04,Graffenrieda emarginata,6,14.5,14.5,1.5,3.76,78.49,298.92,NULL,0.13,0.25,12.98933,0.514819627
San Francisco,1,1,con,GE-con-05,Graffenrieda emarginata,6,17.5,17.5,3.17,1.23,128.92,236.46,0.92,0.27,0.54,11.90275,0.502836561
San Francisco,1,1,con,PSp-con-01,Palicourea angustifolia,14,14.5,15,1.32,0,22.67,226.7,NULL,0.06,0.1,16.31124,0.649629281
San Francisco,1,1,con,PSp-con-02,Palicourea angustifolia,18,17.5,19,2.2,3.76,31.8,254.91,NULL,0.1,0.11,18.20382,0.641157363
San Francisco,1,1,con,PSp-con-03,Palicourea angustifolia,22,30.5,30.5,2.47,4.78,105.87,206.31,0.39,0.38,0.49,20.36008,0.662438644
San Francisco,1,1,con,PSp-con-04,Palicourea angustifolia,19,11.5,11.5,1.27,0.181,20.971,346.5,0.1,0.04,0.06,24.87873,0.708501033
San Francisco,1,1,con,PSp-con-05,Palicourea angustifolia,11,13,13,1.1,0,19.32,276,0.08,0.06,0.07,22.2946,0.787515929
San Francisco,1,2,P,GE-p-01,Graffenrieda emarginata,5,12,12,2.43,0,150.54,268.82,0.19,0.23,0.56,11.68578,0.62343929
San Francisco,1,2,P,GE-p-02,Graffenrieda emarginata,8,13.5,13.5,2.23,7.79,119.25,232.21,0.2,0.21,0.48,13.75481,0.71756396
San Francisco,1,2,P,GE-p-03,Graffenrieda emarginata,4,10.6,11.4,1.71,0.14,54.05,317.12,0.05,0.09,0.17,13.13997,1.19694329
San Francisco,1,2,P,GE-p-04,Graffenrieda emarginata,8,10.6,10.7,1.77,0.05,67.16,319.57,0.08,0.08,0.21,13.20012,1.370142413
San Francisco,1,2,P,GE-p-05,Graffenrieda emarginata,3,21,21,3.17,4.93,120.47,192.57,NULL,0.65,0.6,13.00683,0.853664088
San Francisco,1,2,P,PSp-p-01,Palicourea angustifolia,16,28.5,28.5,1.27,1.8413,39.8327,292.24,0.1,0.15,0.13,18.61502,0.859974671
San Francisco,1,2,P,PSp-p-02,Palicourea angustifolia,13,33,33,2.39,0.6613,76.0836,251.41,0.17,0.32,0.3,18.2942,0.764573038
San Francisco,1,2,P,PSp-p-03,Palicourea angustifolia,9,18,18,0.89,0.045,15.9409,317.92,0.03,0.04,0.05,19.95409,0.734598105
San Francisco,1,2,P,PSp-p-04,Palicourea angustifolia,7,13.5,13.5,1.41,0.6188,11.5203,363.38,0.34,0.21,0.03,23.02559,0.904068512
San Francisco,1,2,P,PSp-p-05a,Palicourea angustifolia,12,15,15,1.41,0,7.0232,54.02,0.05,0.12,0.13,18.9404,0.77502652
San Francisco,1,3,N,GE-n-01,Graffenrieda emarginata,4,13.5,13.5,1.49,2.41,58.25,265.9,0.09,0.12,0.21,16.33825,0.644082471
San Francisco,1,3,N,GE-n-02,Graffenrieda emarginata,6,27,32,4.58,21.36,176.5,153.6,1.45,1.7,1.01,14.61508,0.522625006
San Francisco,1,3,N,GE-n-03,Graffenrieda emarginata,6,12,12,1.95,1.46,112.42,217.57,0.18,0.17,0.51,13.5403,0.415456031
San Francisco,1,3,N,GE-n-04,Graffenrieda emarginata,5,8.5,8.5,2.21,6.05,104.53,273.56,NULL,0.1,0.36,13.83774,0.510727134
San Francisco,1,3,N,GE-n-05,Graffenrieda emarginata,4,10,10,3.02,10.35,92.42,241.38,0.17,0.16,0.34,13.80906,0.458813905
San Francisco,1,3,N,PSp-n-01,Palicourea angustifolia,9,14,14,1,0,14.41,288.2,NULL,0.03,0.05,27.31406,0.518644563
San Francisco,1,3,N,PSp-n-02,Palicourea angustifolia,15,13.5,14,1.58,0.23,27.11,336,0.07,0.12,0.08,23.97234,0.707824473
San Francisco,1,3,N,PSp-n-03,Palicourea angustifolia,9,20,20,1.5,0.2,32.71,270.92,0.1,0.15,0.12,22.36662,0.72007704
San Francisco,1,3,N,PSp-n-04,Palicourea angustifolia,16,9.5,15,1.11,0.44,16.91,329.4,0.04,0.07,0.05,22.56283,0.868615096
San Francisco,1,3,N,PSp-n-05,Palicourea angustifolia,15,13,13,1.76,0,17.79,444.75,0.05,0.04,0.04,20.31771,0.631781734
San Francisco,1,4,NP,GE-np-01,Graffenrieda emarginata,6,11.5,11.5,2.8,5.79,81,179.07,0.2,0.31,0.42,13.03841,1.376518567
San Francisco,1,4,NP,GE-np-02,Graffenrieda emarginata,3,30.5,30.5,3.07,0.83,36.77,239.6,0.28,0.58,0.15,14.01968,1.755664928
San Francisco,1,4,NP,GE-np-03,Graffenrieda emarginata,4,40,40,3.9,2.89,188.95,189.86,2.59,1.64,0.98,13.20489,0.551495638
San Francisco,1,4,NP,GE-np-04,Graffenrieda emarginata,6,24,25,5.38,12.62,165.81,144.52,0.57,2.12,1.06,13.69992,1.572462819
San Francisco,1,4,NP,GE-np-05,Graffenrieda emarginata,3,27.5,27.5,2.47,0.3,44.45,294.33,0.2,0.47,0.15,15.0556,0.696907717
San Francisco,1,4,NP,PSp-np-01,Palicourea angustifolia,8,12,12,0.84,0.15,12.54,413,0.03,0.03,0.03,21.77569,0.475765192
San Francisco,1,4,NP,PSp-np-02,Palicourea angustifolia,11,14.5,14.5,1.81,0.17,32.31,357.11,0.07,0.05,0.09,20.82307,0.718698264
San Francisco,1,4,NP,PSp-np-03,Palicourea angustifolia,10,12,14.5,0.88,0.53,25.8,315.88,0.03,0.05,0.08,19.98556,0.696139486
San Francisco,1,4,NP,PSp-np-04,Palicourea angustifolia,18,17,17,1.71,0.31,40.88,338.08,0.09,0.08,0.12,22.11503,0.680257951
San Francisco,1,4,NP,PSp-np-05,Palicourea angustifolia,12,14,14,1.16,0.12,16.48,409,NULL,0.05,0.04,21.44222,0.710168577
San Francisco,2,6,N,GE-n-06,Graffenrieda emarginata,6,19,19,3.02,0.01,143.06,170.3,0.37,0.55,0.84,10.90453,0.397824036
San Francisco,2,6,N,GE-n-07,Graffenrieda emarginata,5,16.5,16.5,3.43,0.16,156.17,187.96,0.64,0.59,0.83,12.14661,0.440280841
San Francisco,2,6,N,GE-n-08,Graffenrieda emarginata,6,11,11,2.84,0.64,109.89,179.1,0.11,0.27,0.61,22.41973,0.759025013
San Francisco,2,6,N,GE-n-09,Graffenrieda emarginata,4,16,16,2.71,0.58,60.3,314.32,0.25,0.24,0.19,12.49433,0.492560711
San Francisco,2,6,N,GE-n-10,Graffenrieda emarginata,6,19,19,4.26,5.69,160.13,148.5,0.61,0.74,1.04,12.65305,0.557275365
San Francisco,2,6,N,PSp-n-06,Palicourea angustifolia,15,30.3,30.6,2.71,1.39,76.98,269.96,0.19,0.34,0.28,21.99794,0.780069585
San Francisco,2,6,N,PSp-n-07,Palicourea angustifolia,16,29,29,1.99,0,49.04,245.2,0.18,0.19,0.2,20.50764,0.69473129
San Francisco,2,6,N,PSp-n-08,Palicourea angustifolia,19,10,18,1.5,0.21,39.49,302.15,0.07,0.12,0.13,29.37959,0.798165608
San Francisco,2,6,N,PSp-n-09,Palicourea angustifolia,18,37,37,2.63,2.45,101.16,229.56,0.38,0.39,0.43,25.01267,0.741569739
San Francisco,2,6,N,PSp-n-10,Palicourea angustifolia,16,34,34,1.89,0.02,47.74,251.16,0.25,0.25,0.19,17.1964,0.624811212
San Francisco,2,7,con,GE-con-06,Graffenrieda emarginata,5,10,10,3.11,2.97,75.74,207.91,0.26,0.1,0.35,13.91977,0.545752069
San Francisco,2,7,con,GE-con-07,Graffenrieda emarginata,7,21,21,4.47,0,293.76,122.91,0.77,0.76,2.39,9.24918,0.362944088
San Francisco,2,7,con,GE-con-08,Graffenrieda emarginata,4,19,21,5.73,0.01,116.82,114.52,2.53,0.51,1.02,10.6828,0.439309473
San Francisco,2,7,con,GE-con-09,Graffenrieda emarginata,5,16,16,2.84,0,49.11,181.89,NULL,0.24,0.27,9.58747,0.354639466
San Francisco,2,7,con,GE-con-10,Graffenrieda emarginata,4,13,14,1.98,0.28,48.88,186.92,NULL,0.21,0.26,8.68154,0.353140177
San Francisco,2,7,con,PSp-con-06,Palicourea angustifolia,9,12.5,12.5,0.88,0,15.99,319.8,0.1,0.05,0.05,22.44505,1.180338834
San Francisco,2,7,con,PSp-con-07,Palicourea angustifolia,10,21.5,21.5,1.66,0.23,24.88,352.14,0.14,0.13,0.07,19.13234,0.729785611
San Francisco,2,7,con,PSp-con-08,Palicourea angustifolia,10,12.5,12.5,0.92,0,17.99,299.83,0.04,0.05,0.06,20.98337,0.62799211
San Francisco,2,7,con,PSp-con-09,Palicourea angustifolia,8,14.1,14.1,1.39,0.13,11.32,373,0.04,0.05,0.03,18.53413,0.716673032
San Francisco,2,7,con,PSp-con-10,Palicourea angustifolia,15,27.5,27.5,1.47,3.75,51.08,295.81,0.09,0.13,0.16,19.75655,0.68965384
San Francisco,2,8,P,GE-p-06,Graffenrieda emarginata,6,13,13,2.59,0.1,65.61,218.37,0.32,0.2,0.3,10.91544,1.284971278
San Francisco,2,8,P,GE-p-07,Graffenrieda emarginata,6,20,20,3.56,7.68,174.87,163.91,1.22,1,1.02,11.02177,0.853738646
San Francisco,2,8,P,GE-p-08,Graffenrieda emarginata,3,23.5,23.5,3.42,0.1,47.2,235.5,0.53,0.36,0.2,12.08359,0.866460246
San Francisco,2,8,P,GE-p-09,Graffenrieda emarginata,4,23,23,3.05,1.49,64.98,244.19,0.23,0.64,0.26,13.47019,0.605927824
San Francisco,2,8,P,GE-p-10,Graffenrieda emarginata,7,9.5,9.5,1.97,1.18,81.58,259.35,0.17,0.11,0.31,13.92306,1.702597017
San Francisco,2,8,P,PSp-p-06,Palicourea angustifolia,8,22,22,1.94,0.6931,50.2381,275.25,0.33,0.18,0.18,24.13195,0.683028676
San Francisco,2,8,P,PSp-p-07,Palicourea angustifolia,14,12,12,1,0.0897,15.9797,NULL,0.05,NULL,NULL,NULL,NULL
San Francisco,2,8,P,PSp-p-08,Palicourea angustifolia,21,25,30,1.5,0.7025,61.6458,290.21,0.23,0.2,0.21,18.65811,0.64828854
San Francisco,2,8,P,PSp-p-09,Palicourea angustifolia,16,13,14,1,0.0515,20.3884,290.53,0.05,0.08,0.07,18.79551,0.624808914
San Francisco,2,8,P,PSp-p-10,Palicourea angustifolia,19,39,39,2,7.538,79.1733,238.78,0.57,0.45,0.3,20.0016,0.603685451
San Francisco,2,9,NP,GE-np-06,Graffenrieda emarginata,3,8,11,3,0,47.47,163.69,0.29,0.12,0.29,12.1708,0.693909135
San Francisco,2,9,NP,GE-np-07,Graffenrieda emarginata,7,11,11,2,0.45,34.37,226.13,NULL,0.07,0.15,12.57509,0.651523162
San Francisco,2,9,NP,GE-np-08,Graffenrieda emarginata,7,14,15,2,0.19,73.32,304.71,0.12,0.07,0.24,13.92913,0.670601565
San Francisco,2,9,NP,GE-np-09,Graffenrieda emarginata,6,9,10,2,0.3,83.62,231.44,0.07,0.12,0.36,11.01513,1.055322201
