Site,Taxa,Photosynthesis-Pathway,Lifeform,Block,Plot,MAT_v2,MAP_v2,Stand_MAT,Stand_MAP,Treatment,GS-pg,Log_GS+1,Avg_StomataSize-um2,Stomata_Density,SQRT_StomataDensity,Cmg/mgleaftissue,Nmg/mgleaftissue,Pmg/mgleaftissue,CellDensity2_mgDRY,C_PerCell_mg,N_PerCell_mg,P_PerCell_mg,C_PerCell_ng,N_PerCell_ng,P_PerCell_ng,SQRT_C_PerCell_ng,SQRT_N_PerCell_ng,SQRT_ P_PerCell_ng,Amax_(µmolCO2m⁻²s⁻¹),E_(mmolH2Om⁻²s⁻¹),SQRT_Amax,SQRT_E,Instant_WUE(µmolCO2mmolH2O⁻¹),DryMass2_mg,NumCellsIn500ulSoln
konz.us,Ambrosia_psilostachya,C3,allforb,2,14,12.07500006,889,0.33637692,-0.021214053,N,5.814,1.918979319,,,,0.41366,0.03203,0.00112,5565.789474,7.43E-05,5.75E-06,2.01E-07,74.32189125,5.754799054,0.201229314,8.621014514,2.398916225,0.448585905,6.377249938,2.202812,2.525321749,1.48418732,2.895049572,1.9,10575
konz.us,Ambrosia_psilostachya,C3,allforb,2,13,12.07500006,889,0.33637692,-0.021214053,P,5.814,1.918979319,,,,0.38199,0.01278,0.00263,5565.789474,6.86E-05,2.30E-06,4.73E-07,68.63177305,2.296170213,0.472529551,8.284429555,1.515311919,0.687407849,8.185447006,8.857621,2.861022021,2.976175566,0.924113484,1.9,10575
konz.us,Ambrosia_psilostachya,C3,allforb,3,21,12.07500006,889,0.33637692,-0.021214053,C,5.814,1.918979319,,,,0.41873,0.01302,0.00154,5565.789474,7.52E-05,2.34E-06,2.77E-07,75.23281324,2.33929078,0.276690307,8.673685101,1.529474021,0.5260136,8.719762354,3.574522,2.952924373,1.890640632,2.439420531,1.9,10575
konz.us,Ambrosia_psilostachya,C3,allforb,1,7,12.07500006,889,0.33637692,-0.021214053,P,5.814,1.918979319,,,,0.38199,0.01278,0.00263,5565.789474,6.86E-05,2.30E-06,4.73E-07,68.63177305,2.296170213,0.472529551,8.284429555,1.515311919,0.687407849,9.743150955,3.013118,3.121402082,1.735833517,3.233577628,1.9,10575
konz.us,Ambrosia_psilostachya,C3,allforb,2,18,12.07500006,889,0.33637692,-0.021214053,C,5.814,1.918979319,,,,0.41873,0.01302,0.00154,5565.789474,7.52E-05,2.34E-06,2.77E-07,75.23281324,2.33929078,0.276690307,8.673685101,1.529474021,0.5260136,13.80211411,20.422364,3.715119663,4.519110975,0.675833322,1.9,10575
konz.us,Ambrosia_psilostachya,C3,allforb,1,1,12.07500006,889,0.33637692,-0.021214053,NP,5.814,1.918979319,,,,0.42735,0.03055,0.00271,5565.789474,7.68E-05,5.49E-06,4.87E-07,76.78156028,5.488888889,0.486903073,8.762508789,2.342837785,0.697784403,14.87745898,3.754802,3.857130926,1.937731148,3.962248603,1.9,10575
konz.us,Ambrosia_psilostachya,C3,allforb,2,19,12.07500006,889,0.33637692,-0.021214053,NP,5.814,1.918979319,,,,0.42735,0.03055,0.00271,5565.789474,7.68E-05,5.49E-06,4.87E-07,76.78156028,5.488888889,0.486903073,8.762508789,2.342837785,0.697784403,17.10644836,4.762288,4.135994241,2.182266711,3.592065066,1.9,10575
konz.us,Ambrosia_psilostachya,C3,allforb,1,5,12.07500006,889,0.33637692,-0.021214053,N,5.814,1.918979319,,,,0.41366,0.03203,0.00112,5565.789474,7.43E-05,5.75E-06,2.01E-07,74.32189125,5.754799054,0.201229314,8.621014514,2.398916225,0.448585905,21.6117968,7.840699,4.648848976,2.800124819,2.756360983,1.9,10575
temple.us,Ambrosia_trifida,C3,allforb,3,4,19.39583355,877,1.854578704,-0.115002496,N,3.709405289,1.549561634,15.5,600,24.49489743,0.41915,0.02162,0.0014,6263.888889,6.69E-05,3.45E-06,2.24E-07,66.91529933,3.451529933,0.223503326,8.180177219,1.857829361,0.472761384,14.53064284,4.428274,3.811908031,2.104346454,3.281333278,0.9,5637.5
temple.us,Ambrosia_trifida,C3,allforb,2,4,19.39583355,877,1.854578704,-0.115002496,N,3.709405289,1.549561634,15.5,600,24.49489743,0.41915,0.02162,0.0014,6263.888889,6.69E-05,3.45E-06,2.24E-07,66.91529933,3.451529933,0.223503326,8.180177219,1.857829361,0.472761384,14.72895626,3.747567,3.837832234,1.935863373,3.93027163,0.9,5637.5
