"trait","nut_add","k","mod","estimate","se","estimate_se","zval","pval","ci.lb","ci.ub","ci_range"
"tbio","p",30,"gs_ai",-0.126,0.122,"-0.126±0.122",-1.038,0.299,-0.365,0.112,"[-0.365, 0.112]"
"tbio","p",30,"gs_par",0,0.001,"0.000±0.001",0.111,0.911,-0.001,0.001,"[-0.001, 0.001]"
"tbio","np",30,"intrcpt",1.708,0.876,"1.708±0.876",1.95,0.051,-0.008,3.424,"[-0.008, 3.424]"
"tbio","np",30,"gs_mat",-0.046,0.018,"-0.046±0.018",-2.487,0.013,-0.082,-0.01,"[-0.082, -0.010]"
"tbio","np",30,"gs_ai",-0.34,0.163,"-0.340±0.163",-2.086,0.037,-0.66,-0.02,"[-0.660, -0.020]"
"tbio","np",30,"gs_par",-0.001,0.001,"-0.001±0.001",-0.776,0.438,-0.002,0.001,"[-0.002, 0.001]"
"anpp","n",111,"intrcpt",0.309,0.246,"0.309±0.246",1.252,0.211,-0.175,0.792,"[-0.175, 0.792]"
"anpp","n",111,"gs_mat",-0.003,0.007,"-0.003±0.007",-0.471,0.637,-0.016,0.01,"[-0.016, 0.010]"
"anpp","n",111,"gs_ai",0.022,0.074,"0.022±0.074",0.294,0.769,-0.124,0.168,"[-0.124, 0.168]"
"anpp","n",111,"gs_par",0,0,"0.000±0.000",0.065,0.948,-0,0.001,"[-0.000, 0.001]"
"anpp","p",104,"intrcpt",-0.252,0.223,"-0.252±0.223",-1.129,0.259,-0.69,0.185,"[-0.690, 0.185]"
"anpp","p",104,"gs_mat",0,0.006,"0.000±0.006",0.086,0.931,-0.011,0.012,"[-0.011, 0.012]"
"anpp","p",104,"gs_ai",0.102,0.067,"0.102±0.067",1.524,0.128,-0.029,0.234,"[-0.029, 0.234]"
"anpp","p",104,"gs_par",0,0,"0.000±0.000",1.465,0.143,-0,0.001,"[-0.000, 0.001]"
"anpp","np",102,"intrcpt",0.971,0.307,"0.971±0.307",3.166,0.002,0.37,1.572,"[0.370, 1.572]"
"anpp","np",102,"gs_mat",-0.001,0.008,"-0.001±0.008",-0.143,0.887,-0.017,0.014,"[-0.017, 0.014]"
"anpp","np",102,"gs_ai",-0.097,0.093,"-0.097±0.093",-1.046,0.296,-0.28,0.085,"[-0.280, 0.085]"
"anpp","np",102,"gs_par",-0,0,"-0.000±0.000",-1.16,0.246,-0.001,0,"[-0.001, 0.000]"
"bnpp","n",45,"intrcpt",-0.406,0.346,"-0.406±0.346",-1.173,0.241,-1.085,0.272,"[-1.085, 0.272]"
"bnpp","n",45,"gs_mat",0.005,0.007,"0.005±0.007",0.784,0.433,-0.008,0.019,"[-0.008, 0.019]"
"bnpp","n",45,"gs_ai",0.025,0.084,"0.025±0.084",0.298,0.766,-0.14,0.19,"[-0.140, 0.190]"
"bnpp","n",45,"gs_par",0,0,"0.000±0.000",0.839,0.402,-0,0.001,"[-0.000, 0.001]"
"bnpp","p",51,"intrcpt",-0.122,0.393,"-0.122±0.393",-0.311,0.756,-0.893,0.649,"[-0.893, 0.649]"
"bnpp","p",51,"gs_mat",-0.002,0.008,"-0.002±0.008",-0.206,0.836,-0.018,0.014,"[-0.018, 0.014]"
"bnpp","p",51,"gs_ai",0.007,0.095,"0.007±0.095",0.078,0.938,-0.178,0.193,"[-0.178, 0.193]"
"bnpp","p",51,"gs_par",0,0,"0.000±0.000",0.475,0.635,-0.001,0.001,"[-0.001, 0.001]"
"bnpp","np",48,"intrcpt",-0.721,0.457,"-0.721±0.457",-1.578,0.114,-1.617,0.174,"[-1.617, 0.174]"
"bnpp","np",48,"gs_mat",-0.004,0.01,"-0.004±0.010",-0.388,0.698,-0.023,0.015,"[-0.023, 0.015]"
"bnpp","np",48,"gs_ai",0.129,0.112,"0.129±0.112",1.157,0.247,-0.09,0.348,"[-0.090, 0.348]"
