"trait","nut_add","mod","comp","k","estimate","z","p","lowerCL","upperCL"
"pnue","np","nfix","No",65,0.164,-3.049,"0.002",-0.112,0.441
"pnue","np","nfix","Yes",65,-0.033,-3.049,"0.002",-0.333,0.268
"ppue","n","photo","C3",66,0.321,-2.123,"0.034",0.06,0.581
"ppue","n","photo","C4",66,0.129,-2.123,"0.034",-0.182,0.44
"ppue","n","myc_nas","Mining",66,0.173,2.081,"0.037",-0.118,0.465
"ppue","n","myc_nas","Scavenging",66,0.343,2.081,"0.037",0.081,0.605
"ppue","n","nfix","No",66,0.349,-7.209,"<0.001",0.088,0.61
"ppue","n","nfix","Yes",66,-0.263,-7.209,"<0.001",-0.565,0.039
"ppue","p","photo","C3",66,0.161,-0.764,"0.445",-0.026,0.347
"ppue","p","photo","C4",66,-0.064,-0.764,"0.445",-0.296,0.168
"ppue","p","myc_nas","Mining",66,-0.674,5.982,"<0.001",-1.027,-0.32
"ppue","p","myc_nas","Scavenging",66,-0.084,5.982,"<0.001",-0.404,0.235
"ppue","p","nfix","No",66,-0.214,3.132,"0.002",-0.532,0.104
"ppue","p","nfix","Yes",66,0.149,3.132,"0.002",-0.231,0.529
"ppue","np","photo","C3",66,0.008,1.23,"0.219",-0.278,0.295
"ppue","np","photo","C4",66,0.153,1.23,"0.219",-0.21,0.517
"ppue","np","myc_nas","Mining",66,-0.077,1.226,"0.22",-0.398,0.244
"ppue","np","myc_nas","Scavenging",66,0.036,1.226,"0.22",-0.253,0.324
"ppue","np","nfix","No",66,0.044,-4.849,"<0.001",-0.243,0.331
"ppue","np","nfix","Yes",66,-0.431,-4.849,"<0.001",-0.767,-0.095
